"행정구","행정동","20~24세","25~29세","30~34세","35~39세","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드"
"강서구","발산1동",2449,2164,1824,2609,9046,3375,19865,125,0,65,1016.51242937853,1116067
"강서구","공항동",1524,2266,2261,2760,8811,2040,36149,167,0,62,735.154479166667,1116069
"강서구","방화1동",2275,3044,2835,3657,11811,2621,11003,195,0,42,997.430050505051,1116070
"강서구","방화2동",1283,2041,1847,1646,6817,3279,14018,102,0,36,708.804519774011,1116071
"강서구","방화3동",1019,1570,1750,1976,6315,893,4698,137,0,18,644.876602564103,1116072
"강서구","화곡1동",3134,6202,5650,4903,19889,3048,10879,306,0,26,1170.27894211577,1116073
"강서구","우장산동",2596,2682,2364,3226,10868,1664,7981,313,1,28,1501.11576576577,1116074
"구로구","신도림동",2036,2301,2802,3442,10581,2784,15121,224,0,41,1048.13888888889,1117051
"구로구","구로1동",1202,1626,1871,2018,6717,728,3603,253,0,20,1177.26754385965,1117052
"구로구","구로3동",1368,2773,2663,2357,9161,7883,92379,136,0,40,1302.484375,1117054
"구로구","구로4동",1060,1765,1542,1390,5757,2133,6044,104,0,23,884.140046296296,1117055
"구로구","구로5동",1904,3163,2814,2625,10506,4477,26529,168,0,31,784.052838164251,1117056
"구로구","고척1동",1584,1708,1411,1495,6198,2541,10116,79,1,31,657.135416666667,1117061
"구로구","고척2동",1712,1903,1498,1818,6931,1460,4177,76,0,38,564.188461538462,1117062
"구로구","개봉2동",1765,2102,2111,2459,8437,1212,3361,159,0,22,650.795454545455,1117064
"구로구","개봉3동",1189,1422,1334,1456,5401,1020,7391,62,0,20,539.651515151515,1117065
"구로구","오류1동",1449,2544,2401,1965,8359,1187,4795,162,0,14,1222.47508635579,1117067
"구로구","수궁동",1393,1696,1589,1725,6403,1258,6199,116,0,47,722.658333333333,1117069
"구로구","가리봉동",524,964,697,564,2749,993,3179,46,0,8,1367.92948717949,1117070
"구로구","구로2동",1345,1912,1475,1453,6185,7653,28133,103,0,34,987.895833333333,1117071
"구로구","개봉1동",2036,2591,2554,2526,9707,1698,5484,174,1,46,748.962418300654,1117072
"구로구","오류2동",2094,2562,2320,2863,9839,1729,9157,191,1,68,1053.93264840183,1117068
"구로구","항동",690,1032,1642,2267,5631,0,0,10,0,29,914.11388980104,NA
"금천구","가산동",1849,4694,3342,2105,11990,16661,170886,206,0,106,781.629939862543,1118051
"금천구","독산1동",2535,4776,4353,4054,15718,4037,25241,318,0,69,1553.62089201878,1118052
"금천구","독산2동",1147,1703,1283,1217,5350,1154,3514,83,0,8,847.671296296296,1118053
"금천구","독산3동",1506,2356,1896,1666,7424,2087,6500,129,0,21,1122.2391025641,1118054
"금천구","독산4동",969,1323,1060,927,4279,994,3130,76,0,14,1104.36588541667,1118055
"금천구","시흥1동",2047,2999,2432,2358,9836,3078,15728,192,0,47,1123.98958333333,1118057
"금천구","시흥2동",1267,1229,1087,1393,4976,651,2009,74,0,19,415.194444444444,1118058
"금천구","시흥3동",682,765,731,703,2881,3167,10083,44,0,17,273.055555555556,1118059
"금천구","시흥4동",1208,1525,1283,1307,5323,853,2034,72,0,24,729.166666666667,1118060
"금천구","시흥5동",1155,1392,1109,1175,4831,1132,3561,91,0,35,639.766203703704,1118061
